,name,longitude,latitude,free_bikes,empty_slots,fsq_id
0," PL  JOANIC - C / BRUNIQUER, 59",2.1622548,41.4055198,1,14,00028670e3d01438515caba403ffd680
1,"C/ SARDENYA,  178",2.1825085,41.3967169,17,19,00341b8b54545c560fdec7d7983f9f5a
2,"PL. CATALUNYA, 7",2.169427,41.386543,4,16,00565dda9629be93f8f69358b48602cc
3,"C/ VILADOMAT, 200",2.1508071246452154,41.384810211467105,10,13,006395fd7434c1f65d20cf0a1b0c94f0
4,"C/ DEL DOCTOR TRUETA, 222",2.2041415,41.3992169,13,11,00e4814116fc414fb00b93cc1c9aa1ca
5,"C/ FELIP II, 214",2.1786224,41.426925,9,14,026153e8343ea0aa59a299ddc55f1883
6,"C/ BAC DE RODA, 11",2.2105777,41.4023354,11,9,03b90625659c5bcdf8466510c9c9cdb3
7,"PG. PUJADES, 2",2.183489,41.389135,3,23,03e6b3ec53c2502134c81d25be2babea
8,"AV. PARAL.LEL, 54",2.1709386,41.3751145,14,1,03f546e866d88a87aca588e8177f96eb
9,"AV. PARAL·LEL, 146 BIS",2.1592394,41.3751852,40,0,03f8133a557d1706e2bdaa59db24514c
10,"C/ VILLARROEL, 39",2.1606534,41.3821314,6,25,04c1f418a16200483f9ff8d36ffbea54
11,"C/ SARDENYA, 362",2.1706498,41.4055143,16,3,04d2405659301888532b220530bf6ab7
12,"AV. RASOS DE PEGUERA, 10",2.178959,41.462095,8,11,05cd03116f27936f57a868706aeb2753
13,"C/ SANT ADRIÀ, 2-8",2.1896502,41.433934,1,23,07bb417c7ade54ee396bb3377c172c20
14,"C/ PALLARS, 182",2.1969105,41.4003471,10,21,080233252e62b5c4a5f651f1b69e7eff
15,PL. TETUAN,2.1751709,41.3943454,8,14,084523f98844ad705e48d34b3d667865
16,"C/ ROSSELLÓ, 108-110",2.150878,41.388296,1,15,086561ce0bc3e36a81eb90e26d0bc610
17,"C/ CONSELL DE CENT, 566",2.183145,41.4040364,26,10,0894812b21c0802c56c0fcdcf203e18d
18,"C/ CAMÈLIES, 78",2.1658677,41.4145614,13,8,09257dd0300decf3aa34145b7988dbba
19,"C/ BAILÉN, 100",2.1706323,41.396994,0,27,092ea1f184d8d1755f3a5a91104916fe
20,"AV. DIAGONAL, 680",2.1237141,41.3875297,0,23,094eb7b65cdf38f3f7abd6fe76833690
21,"LA RAMBLA, 1",2.176971,41.376326,11,5,09734124b93865e145f57da0e1a8a096
22,"C/ ALT DE GIRONELLA, 13",2.1302775,41.3949601,0,20,09ca480f42e8a372dae53bc4137e7038
23,"C/ SANT ANTONI Mª CLARET, 290-296",2.1777274,41.4138664,15,8,09cb8fd9f4b645c6115ab159cf8451aa
24,"AV. DIAGONAL, 668",2.1285766,41.3887069,0,25,09d2b48c91aac474258bef2a1700ed16
25,"VIA FAVÈNCIA, 186",2.170393,41.4427374,0,21,0a5863be2a7bf9d1a16bfe4461a8f6d0
26,"AV. DIAGONAL, 602",2.143411,41.392878,0,22,0a7556a190afc2de3bc42eef1b8b5515
27,"C/ J. MAYNARD KEYNES, 2|AV. DGNAL.",2.1168609,41.3862258,0,36,0ae0e4f1bb5a5d21b268bec539413fde
28,"C/ JOSEP PLA, 67",2.2122054,41.411381,5,17,0b683b9f2f5596baaea1da793fb36161
29,"AV. MERIDIANA, 47 (D)",2.1866517,41.3982615,14,28,0bf11c6c1881281b3582f7468f7f7223
30,"C/ BILBAO, 2",2.206645,41.4008312,15,10,0c4cac5891975861c141dbd44374cd54
31,CAMPANA DE LA MAQUINISTA (SAO PAULO I PL. DE,2.1996179,41.4389609,3,24,0c539fabc4dc46d8b5ceb3be59fce5d1
32,"C/ SARDENYA, 292",2.175767,41.4016969,10,7,0ca177aa7f157d4fd9ee72679f6d3b79
33,"RBLA. CATALUNYA, 33 - C/ DIPUTACIÓ",2.1652199,41.3896967,3,20,0d30318c6df68a1f890c2811482d2667
34,"C/ ROSA SENSAT, 20",2.1965766,41.3910756,5,15,0d8fa3d220b325a928f1d218b3155113
35,"C/ DIPUTACIÓ, 200",2.1610515,41.3857425,0,26,0df71ec07a30c424811aed381fbd0c2c
36,"C/ PUJADES, 57B",2.192952,41.3958685,6,19,0e3c6e1e8a235e4f609e6576314a8439
37,"C/ VILADOMAT, 244",2.1469336,41.3875712,8,23,0f0b15d3a81bb3204cc64850518884e6
38,"C/ NÀPOLS, 125",2.1787074,41.3957813,18,13,0f4ff722a51882a7792b8e3802178dc0
39,"PG. FABRA I PUIG, 385",2.1629258,41.4333259,8,20,0f850a848dad56671cf211f1684580b8
40,"C/ GARRIGA I ROCA, 2",2.1718497,41.4191957,10,3,0f9fe229cef0441785dc69de17b17418
41,"C/ DIPUTACIÓ, 272",2.1689031978751205,41.39161170092347,2,22,101580d3395e059b4d12769a5d25d212
42,"C/ SANT ISCLE, 60",2.1716309,41.433384,5,20,108f46fa37b199e3a56017d8ae34309e
43,"C/ DE BARTRINA, 14",2.1858025,41.4391174,8,13,10fc4e8d4de922b51c0ebdf29a61def8
44,"RAMBLA DE L'ONZE DE SETEMBRE, 31",2.1932159,41.4298991,14,16,1139f0f7f91f6444cfaec68ec53b8433
45,"AV. DIAGONAL, 672",2.1256248,41.3880355,0,33,1161584f0cdec1e6c63e016824fe9db4
46,"C/ AMILCAR, 1",2.1720191,41.4300161,8,4,11d965aa22c062de75920e2666e720a4
47,"C/ TARRAGONA, 141",2.1450491,41.3779613,7,11,126463a86cb5fe5421dd27fed9c2c6bc
48,"AV. JOSEP TARRADELLAS, 58",2.1429115,41.385004,6,13,129546d3550305e9a5d2f725866b1667
49,"PG. D'ENRIC SANCHIS, 33",2.2062245,41.4339212,11,14,1369607dbd27029b530192d858bc0587
50,"C/ CASANOVA, 139",2.1542277,41.3887127,13,15,13b112063b8ee8e5475ddbd9e22539fb
51,"C/ MINERIA, 30",2.138599,41.3649272,9,9,13cc3757d548c3d88d2cffe8fd10adac
52,"LA RAMBLA, 75",2.1729755,41.3811389,7,7,13df1f7cf5da20a4df4f16024b6126f8
53,"C/ CÒRSEGA, 216",2.1532163,41.3917666,6,23,143a26af73018f0c2baf57f161c4df3c
54,"C/ JOSÉ DE  AGULLÓ, 9",2.1334873,41.3952027,1,24,14facb5b151f405ddaa251d5e5a19680
55,"C/ VALLESPIR, 49",2.1368202,41.3796421,2,16,15175d0b3a62e7ab9b961b63cc527dea
56,"C/ BRUC, 130",2.1661852,41.3969839,7,17,152ba80b3ff3a4495a001e4e2ee3e50e
57,"C/ SAGUÉS, 1",2.1455022,41.3937414,1,24,1531183adae9d617f88b99b7056ae8f1
58,"AV. RIO DE JANEIRO, 96",2.182335,41.439692,9,15,15603e849340dd9808548b709d679f56
59,"C/ GRAN CAPITÀ, 9",2.1091535,41.3881262,4,21,16542042e0f60846cf29c95a67c22624
60,"C/ DE LES CORTS, 20",2.1288753,41.3854466,2,24,16a291fb985a60b7b1a195e5a20fd7f8
61,"C/ SANCHO DE ÁVILA,  104 - C/ BADAJOZ",2.1924144,41.4003793,3,37,1747e401e4657c8c550ffd30791cbfe5
62,"C/ SANCHO DE ÁVILA, 170 / LLACUNA",2.1956161,41.4027907,2,24,1750df4f9a4a35c6fcdcb16d05a633b4
63,PL. PAU VILA (D),2.186576,41.381046,13,28,177691c9682b3cbc1b88eb02419d115d
64,AV. PARAL.LEL 164,2.1568773,41.3751866,16,0,17e966aea4e9eaaaab7a77d5b59de955
65,"C/ DE BONAVISTA, 14",2.1598243,41.3983444,0,34,19177609459716eb56c7c72a5b5eb05c
66,"C/ ENRIC GRANADOS, 93",2.1563542,41.392135,1,24,196cd5717581af6bcee32f659e8bfb0a
67,"VIA AUGUSTA, 317",2.124329,41.399017,0,24,19d9cd8559c7ac1b0cb36b1f32708d41
68," PG. MARíTIM, 31 B (ANNEXA A LA  12)",2.194735,41.3834753,1,17,1a05be16670c85752010f0efe4698995
69,"C/ LEPANT,  278",2.1765126,41.4047056,1,15,1a670d1e045dd4d7733d85a8d2af7d9f
70,"C/ MEJÍA LEQUERICA, 2",2.1268625,41.3819739,6,19,1af95e2acbba68a8b51a41615cc77042
71,"AV.LITORAL, 84",2.2088454,41.3979002,10,11,1b5961d97851faaca78308b3afeef662
72,"PG. JOAN DE BORBÓ, 42",2.1884228,41.3779974,12,0,1b6c8a565030e3415310729ecda3071c
73,"GRAN VIA CORTS CATALANES, 760",2.1801069,41.3979779,23,17,1c3b749efc8354ce2fe1ca81e9b7a388
74,"C/ GARCILASO, 77",2.1866363,41.4228449,7,7,1e26d529b774405d07a7faa89bc2bbeb
75,"AV. PARAL.LEL, 132",2.1613897,41.3750995,28,0,1f1b5a28741276e122f2ff81c30096ab
76,"C/ CAMÈLIES, 73",2.1631012,41.4134503,25,9,1f6a881d188b0ee856f52612eb990a64
77,"TRAV. DE GRÀCIA, 92 / VIA AUGUSTA",2.1531031,41.3982304,0,14,1f6bcf57dac0a8e71974ad24678ed240
78,"PL. JOAQUIM XIRAU I PALAU, 1",2.1767427,41.3785379,19,2,1f7b68ead83cf6ccc418c0cf0762ff90
79,"C/ PAU ALCOVER, 94",2.131524,41.401883,1,24,1f91573279a4f9509a4957d52d1282eb
80,"RBLA. CATALUNYA, 47",2.164035,41.3902625,1,24,1f9e36d7f297b20aa6a1e64d491c7972
81,"C/ BAILÉN, 62",2.1730023,41.3952527,18,9,202292284aa3e54a835a7d23b46736de
82,"C/ DE LA SANTACREU, 2 (PL. DE LA VIRREINA)",2.1569161,41.4050968,2,21,20489f631072cc28555f2f9df8327ecd
83,"C/ PUJADES, 173/RBLA POBLE NOU",2.20077,41.4018686,11,10,205a69a8b9006b34c6170024516fa6ee
84,"PL. DEL NORD, 5",2.1558354,41.4068417,5,13,206772325f1d9ef3f1d490a20debc2b0
